Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,66.910004,67.220001,65.769997,66.800003,61.101185,7063900
2015-08-27,67.510002,67.959999,67.000000,67.959999,62.162220,1489100
2015-08-28,66.989998,67.570000,66.769997,67.459999,61.704876,1369200
2015-08-31,67.150002,67.559998,66.870003,67.260002,61.521942,772600
2015-09-01,66.129997,66.199997,65.309998,65.589996,59.994411,1081000
2015-09-02,65.849998,66.150002,65.190002,66.129997,60.488342,1495500
2015-09-03,66.209999,66.680000,66.180000,66.570000,60.890800,2811400
2015-09-04,64.760002,65.180000,64.349998,64.730003,59.207783,1669100
2015-09-08,65.959999,66.370003,65.669998,66.349998,60.689568,894400
2015-09-09,66.400002,66.500000,64.949997,65.059998,59.509624,1251200
2015-09-10,64.980003,66.510002,64.940002,65.980003,60.351143,1302400
2015-09-11,65.599998,66.059998,65.529999,66.059998,60.424309,901400
2015-09-14,65.839996,66.059998,65.580002,65.800003,60.186501,605700
2015-09-15,65.779999,68.000000,65.529999,66.889999,61.183498,1593800
2015-09-16,66.660004,67.209999,66.430000,66.970001,61.256676,1332900
2015-09-17,66.940002,67.639999,66.730003,67.070000,61.348148,1212200
2015-09-18,65.209999,65.879997,64.809998,64.959999,59.418159,1397800
2015-09-21,65.190002,65.410004,64.760002,65.089996,59.537064,829300
2015-09-22,63.700001,63.900002,62.939999,63.400002,57.991238,1421800
2015-09-23,63.320000,63.669998,62.950001,63.480000,58.064415,1606700
2015-09-24,62.990002,63.419998,62.570000,63.380001,57.972954,2312600
2015-09-25,64.010002,64.449997,63.669998,63.849998,58.402855,1777800
2015-09-28,64.190002,64.190002,63.360001,63.369999,57.963802,1213800
2015-09-29,63.509998,64.160004,63.340000,63.959999,58.503471,957400
2015-09-30,65.269997,65.360001,64.199997,64.790001,59.262665,911000
2015-10-01,64.540001,64.650002,63.430000,64.160004,58.686409,891600
2015-10-02,64.769997,65.820000,64.290001,65.800003,60.186501,1206600
2015-10-05,66.290001,66.800003,66.230003,66.669998,60.982277,687000
2015-10-06,67.089996,67.650002,67.019997,67.320000,61.576813,1002600
2015-10-07,67.099998,67.599998,66.669998,67.389999,61.640850,857800
2015-10-08,66.860001,67.629997,66.669998,67.559998,61.796341,967600
2015-10-09,68.519997,68.750000,68.080002,68.379997,62.546387,869400
2015-10-12,68.230003,68.870003,68.199997,68.449997,62.610416,1315500
2015-10-13,68.449997,73.120003,68.449997,72.300003,66.131966,3456400
2015-10-14,72.820000,73.000000,72.349998,72.779999,66.571007,925900
2015-10-15,73.650002,74.230003,73.510002,74.099998,67.778397,1571600
2015-10-16,74.900002,75.339996,74.739998,75.339996,68.912613,944900
2015-10-19,75.360001,75.410004,74.330002,74.760002,68.382111,835400
2015-10-20,75.610001,75.919998,75.150002,75.459999,69.022385,1199000
2015-10-21,76.500000,76.779999,76.080002,76.169998,69.671806,1353400
2015-10-22,76.730003,77.489998,76.620003,77.019997,70.449287,1049500
2015-10-23,77.300003,77.650002,76.809998,77.320000,70.723701,938800
2015-10-26,77.269997,77.620003,77.139999,77.379997,70.778580,769500
2015-10-27,77.690002,78.010002,76.870003,77.040001,70.467590,1518400
2015-10-28,77.980003,78.750000,77.400002,78.029999,71.373123,1107200
2015-10-29,77.540001,78.180000,77.470001,78.120003,71.455460,463600
2015-10-30,78.220001,79.320000,78.160004,78.709999,71.995125,992900
2015-11-02,79.669998,79.910004,79.500000,79.839996,73.028717,779000
2015-11-03,79.900002,80.690002,79.860001,80.220001,73.376305,1249000
